B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
8.69761	0.0627	1	32.6	0.391784	36.7603	-81.6314	10573.4	63165.2	nan	nan	0.0022	1	22.2	1
11.0988	0.0636	0.8	14.7	0.431019	36.9622	-81.4725	4600.87	64530.1	nan	nan	0.0036	1	20.6	2
12.4321	0.0652	1.1	85.2	0.293461	36.9389	-80.8875	25060.3	66980.4	nan	nan	0.0033	1	46.6	2
10.0614	0.0657	1.4	67.7	0.409474	37.14	-80.2667	19536.2	67752.4	nan	nan	0.0024	1	34.4	2
9.88408	0.073	0.4	4	0.362719	38.325	-79.4372	886.989	79352.5	nan	nan	0.0055	1	10.9	2
7.5633	0.0731	1.3	80.4	0.354956	nan	nan	17767.6	79515.6	nan	nan	0.0013	1	27.7	9
5.23796	0.0759	0.4	6.7	0.295096	37.5908	-79.6344	1347.83	84127.7	nan	nan	0.022	1	7.1	2
9.69005	0.0828	1.5	81.6	0.407145	37.8028	-80.0472	13206.3	95856.6	nan	nan	0.0035	1	35.7	2
8.43268	0.103	1.3	83.8	0.349124	38.6356	-79.3381	7858.08	132994	nan	nan	0.0052	1	31.4	2
9.53481	0.108	0.6	13.1	0.338514	nan	nan	1091.13	142795	nan	nan	0.0119	1	16.9	9
11.1337	0.109	1	34	0.38525	38.6314	-79.2439	2767.44	144783	nan	nan	0.0035	1	28.9	2
13.0588	0.12	1.2	91.2	0.311542	39.6694	-78.7878	5837.24	167243	nan	nan	0.0035	1	50.3	2
10.4385	0.123	1.4	94.6	0.358183	38.2186	-78.8369	5692.38	173554	nan	nan	0.0048	1	40.8	2
8.43052	0.135	0.8	15.3	0.424177	nan	nan	729.495	199562	nan	nan	0.019	1	15.9	9
7.32017	0.137	1.3	59.7	0.399841	38.9581	-78.2669	2743.71	204013	nan	nan	0.0124	1	23.8	2
9.87631	0.149	1.5	62	0.454431	38.0422	-79.8817	2309.89	231396	nan	nan	0.0038	1	32.6	2
10.9584	0.176	1.4	66.5	0.412414	nan	nan	1633.82	297061	nan	nan	0.0031	1	37.2	9
8.45137	0.2	1.1	63.7	0.329663	38.1953	-79.5706	1136.92	359850	nan	nan	0.0095	1	28.2	2
12.1562	0.038	3.84	1020	0.379512	51.463	-112.701	1.15693e+06	29802.4	nan	nan	0.00035	1	123	3
